filename,algorithm,frame,resolution,time (ms),detections
Video1.MOV,yolov5l,2,480x270,274.7619152069092,4
Video1.MOV,yolov5x,2,480x270,460.44087409973145,5
Video1.MOV,mobilenet,2,480x270,33.26988220214844,0
Video1.MOV,haar_fullbody,3,1280x720,175.4307746887207,0
Video1.MOV,haar_upperbody,3,1280x720,371.6130256652832,2
Video1.MOV,haar_frontalface,3,1280x720,294.70086097717285,1
Video1.MOV,hog,3,1280x720,218.92905235290527,1
Video1.MOV,hog_nms,3,1280x720,221.56786918640137,1
Video1.MOV,yolov5n,3,1280x720,44.393062591552734,0
Video1.MOV,yolov5s,3,1280x720,69.28491592407227,0
Video1.MOV,yolov5m,3,1280x720,136.4150047302246,0
Video1.MOV,yolov5l,3,1280x720,236.17196083068848,5
Video1.MOV,yolov5x,3,1280x720,429.6607971191406,3
Video1.MOV,mobilenet,3,1280x720,32.534122467041016,0
Video1.MOV,haar_fullbody,3,640x360,39.51311111450195,0
Video1.MOV,haar_upperbody,3,640x360,93.78981590270996,1
Video1.MOV,haar_frontalface,3,640x360,87.2499942779541,1
Video1.MOV,hog,3,640x360,46.69308662414551,1
Video1.MOV,hog_nms,3,640x360,47.36781120300293,1
Video1.MOV,yolov5n,3,640x360,50.47297477722168,0
Video1.MOV,yolov5s,3,640x360,76.86471939086914,0
Video1.MOV,yolov5m,3,640x360,152.24575996398926,0
Video1.MOV,yolov5l,3,640x360,331.89916610717773,5
Video1.MOV,yolov5x,3,640x360,333.36496353149414,3
Video1.MOV,mobilenet,3,640x360,32.69815444946289,0
Video1.MOV,haar_fullbody,3,480x270,21.94809913635254,0
Video1.MOV,haar_upperbody,3,480x270,54.49986457824707,1
Video1.MOV,haar_frontalface,3,480x270,56.2138557434082,1
Video1.MOV,hog,3,480x270,25.19512176513672,0
Video1.MOV,hog_nms,3,480x270,20.595073699951172,0
Video1.MOV,yolov5n,3,480x270,46.89288139343262,0
Video1.MOV,yolov5s,3,480x270,70.86062431335449,0
Video1.MOV,yolov5m,3,480x270,149.60598945617676,0
Video1.MOV,yolov5l,3,480x270,233.37292671203613,5
Video1.MOV,yolov5x,3,480x270,362.9608154296875,4
Video1.MOV,mobilenet,3,480x270,35.093069076538086,0
Video1.MOV,haar_fullbody,4,1280x720,169.41118240356445,0
Video1.MOV,haar_upperbody,4,1280x720,357.7380180358887,1
Video1.MOV,haar_frontalface,4,1280x720,283.36501121520996,0
Video1.MOV,hog,4,1280x720,215.71087837219238,1
Video1.MOV,hog_nms,4,1280x720,221.8308448791504,1
Video1.MOV,yolov5n,4,1280x720,45.72701454162598,1
Video1.MOV,yolov5s,4,1280x720,71.7308521270752,1
Video1.MOV,yolov5m,4,1280x720,163.72203826904297,3
Video1.MOV,yolov5l,4,1280x720,243.90292167663574,5
Video1.MOV,yolov5x,4,1280x720,491.15896224975586,5
Video1.MOV,mobilenet,4,1280x720,33.1728458404541,0
Video1.MOV,haar_fullbody,4,640x360,42.511940002441406,0
Video1.MOV,haar_upperbody,4,640x360,107.18798637390137,1
Video1.MOV,haar_frontalface,4,640x360,103.03306579589844,0
Video1.MOV,hog,4,640x360,48.48194122314453,0
Video1.MOV,hog_nms,4,640x360,49.910783767700195,0
Video1.MOV,yolov5n,4,640x360,55.59515953063965,1
Video1.MOV,yolov5s,4,640x360,86.09294891357422,1
Video1.MOV,yolov5m,4,640x360,252.42280960083008,3
Video1.MOV,yolov5l,4,640x360,357.47623443603516,5
Video1.MOV,yolov5x,4,640x360,392.2688961029053,5
Video1.MOV,mobilenet,4,640x360,32.473087310791016,0
Video1.MOV,haar_fullbody,4,480x270,20.612001419067383,0
Video1.MOV,haar_upperbody,4,480x270,54.42214012145996,0
Video1.MOV,haar_frontalface,4,480x270,49.81398582458496,0
Video1.MOV,hog,4,480x270,20.77794075012207,0
Video1.MOV,hog_nms,4,480x270,21.724224090576172,0
Video1.MOV,yolov5n,4,480x270,51.01919174194336,1
Video1.MOV,yolov5s,4,480x270,89.66898918151855,0
Video1.MOV,yolov5m,4,480x270,158.74505043029785,4
Video1.MOV,yolov5l,4,480x270,241.4569854736328,5
Video1.MOV,yolov5x,4,480x270,465.5277729034424,5
Video1.MOV,mobilenet,4,480x270,33.769845962524414,0
Video1.MOV,haar_fullbody,5,1280x720,173.2621192932129,0
Video1.MOV,haar_upperbody,5,1280x720,368.6861991882324,1
Video1.MOV,haar_frontalface,5,1280x720,289.6115779876709,0
Video1.MOV,hog,5,1280x720,219.6202278137207,0
Video1.MOV,hog_nms,5,1280x720,220.68095207214355,0
Video1.MOV,yolov5n,5,1280x720,41.45002365112305,2
Video1.MOV,yolov5s,5,1280x720,67.12794303894043,2
Video1.MOV,yolov5m,5,1280x720,130.1877498626709,4
Video1.MOV,yolov5l,5,1280x720,231.49633407592773,5
Video1.MOV,yolov5x,5,1280x720,376.8887519836426,6
Video1.MOV,mobilenet,5,1280x720,32.95397758483887,0
Video1.MOV,haar_fullbody,5,640x360,40.068864822387695,0
Video1.MOV,haar_upperbody,5,640x360,91.21322631835938,0
Video1.MOV,haar_frontalface,5,640x360,87.91399002075195,0
Video1.MOV,hog,5,640x360,43.59912872314453,0
Video1.MOV,hog_nms,5,640x360,45.950889587402344,0
Video1.MOV,yolov5n,5,640x360,44.233083724975586,2
Video1.MOV,yolov5s,5,640x360,69.00978088378906,2
Video1.MOV,yolov5m,5,640x360,126.42717361450195,4
Video1.MOV,yolov5l,5,640x360,238.18111419677734,5
Video1.MOV,yolov5x,5,640x360,345.05605697631836,6
Video1.MOV,mobilenet,5,640x360,32.052040100097656,0
Video1.MOV,haar_fullbody,5,480x270,20.500898361206055,0
Video1.MOV,haar_upperbody,5,480x270,50.90188980102539,0
Video1.MOV,haar_frontalface,5,480x270,48.660993576049805,0
Video1.MOV,hog,5,480x270,20.45416831970215,0
Video1.MOV,hog_nms,5,480x270,30.037641525268555,0
Video1.MOV,yolov5n,5,480x270,53.968191146850586,1
Video1.MOV,yolov5s,5,480x270,64.3930435180664,2
Video1.MOV,yolov5m,5,480x270,136.7931365966797,4
Video1.MOV,yolov5l,5,480x270,229.2032241821289,5
Video1.MOV,yolov5x,5,480x270,354.9509048461914,5
Video1.MOV,mobilenet,5,480x270,31.26215934753418,0
Video1.MOV,haar_fullbody,6,1280x720,172.91712760925293,0
Video1.MOV,haar_upperbody,6,1280x720,364.9132251739502,1
Video1.MOV,haar_frontalface,6,1280x720,291.532039642334,1
Video1.MOV,hog,6,1280x720,216.91489219665527,0
Video1.MOV,hog_nms,6,1280x720,271.3491916656494,0
Video1.MOV,yolov5n,6,1280x720,56.58698081970215,3
Video1.MOV,yolov5s,6,1280x720,100.13389587402344,3
Video1.MOV,yolov5m,6,1280x720,139.45603370666504,6
Video1.MOV,yolov5l,6,1280x720,247.31993675231934,5
Video1.MOV,yolov5x,6,1280x720,412.40382194519043,7
Video1.MOV,mobilenet,6,1280x720,35.25280952453613,0
Video1.MOV,haar_fullbody,6,640x360,45.11284828186035,0
Video1.MOV,haar_upperbody,6,640x360,95.36480903625488,0
Video1.MOV,haar_frontalface,6,640x360,97.56612777709961,1
Video1.MOV,hog,6,640x360,45.20893096923828,0
Video1.MOV,hog_nms,6,640x360,44.64411735534668,0
Video1.MOV,yolov5n,6,640x360,44.89302635192871,3
Video1.MOV,yolov5s,6,640x360,66.43509864807129,3
Video1.MOV,yolov5m,6,640x360,130.51605224609375,6
Video1.MOV,yolov5l,6,640x360,219.08187866210938,5
Video1.MOV,yolov5x,6,640x360,360.4726791381836,7
Video1.MOV,mobilenet,6,640x360,32.76872634887695,0
Video1.MOV,haar_fullbody,6,480x270,20.49112319946289,0
Video1.MOV,haar_upperbody,6,480x270,51.34701728820801,0
Video1.MOV,haar_frontalface,6,480x270,50.353050231933594,2
Video1.MOV,hog,6,480x270,19.980907440185547,0
Video1.MOV,hog_nms,6,480x270,20.322799682617188,0
Video1.MOV,yolov5n,6,480x270,42.33074188232422,0
Video1.MOV,yolov5s,6,480x270,67.85726547241211,3
Video1.MOV,yolov5m,6,480x270,126.38187408447266,1
Video1.MOV,yolov5l,6,480x270,250.4410743713379,3
Video1.MOV,yolov5x,6,480x270,419.9230670928955,6
Video1.MOV,mobilenet,6,480x270,33.29801559448242,0
Video1.MOV,haar_fullbody,7,1280x720,177.29830741882324,0
Video1.MOV,haar_upperbody,7,1280x720,410.42470932006836,0
Video1.MOV,haar_frontalface,7,1280x720,287.3878479003906,0
Video1.MOV,hog,7,1280x720,218.77408027648926,1
Video1.MOV,hog_nms,7,1280x720,218.9640998840332,1
Video1.MOV,yolov5n,7,1280x720,44.16179656982422,5
Video1.MOV,yolov5s,7,1280x720,71.47002220153809,2
Video1.MOV,yolov5m,7,1280x720,136.75618171691895,5
Video1.MOV,yolov5l,7,1280x720,237.08510398864746,6
Video1.MOV,yolov5x,7,1280x720,357.3307991027832,6
Video1.MOV,mobilenet,7,1280x720,31.50177001953125,0
Video1.MOV,haar_fullbody,7,640x360,39.29281234741211,0
Video1.MOV,haar_upperbody,7,640x360,91.42303466796875,0
Video1.MOV,haar_frontalface,7,640x360,88.19890022277832,0
Video1.MOV,hog,7,640x360,44.467926025390625,0
Video1.MOV,hog_nms,7,640x360,43.176889419555664,0
Video1.MOV,yolov5n,7,640x360,42.33694076538086,5
Video1.MOV,yolov5s,7,640x360,71.51484489440918,2
Video1.MOV,yolov5m,7,640x360,134.40299034118652,5
Video1.MOV,yolov5l,7,640x360,232.91301727294922,6
Video1.MOV,yolov5x,7,640x360,395.5719470977783,6
Video1.MOV,mobilenet,7,640x360,34.84010696411133,0
Video1.MOV,haar_fullbody,7,480x270,21.03877067565918,0
Video1.MOV,haar_upperbody,7,480x270,51.4981746673584,0
Video1.MOV,haar_frontalface,7,480x270,50.22931098937988,0
Video1.MOV,hog,7,480x270,20.303964614868164,0
Video1.MOV,hog_nms,7,480x270,20.602941513061523,0
Video1.MOV,yolov5n,7,480x270,43.28274726867676,2
Video1.MOV,yolov5s,7,480x270,70.98722457885742,2
Video1.MOV,yolov5m,7,480x270,133.19897651672363,4
Video1.MOV,yolov5l,7,480x270,230.2238941192627,5
Video1.MOV,yolov5x,7,480x270,365.0538921356201,5
Video1.MOV,mobilenet,7,480x270,32.42373466491699,0
Video1.MOV,haar_fullbody,8,1280x720,172.98197746276855,0
Video1.MOV,haar_upperbody,8,1280x720,364.75610733032227,0
Video1.MOV,haar_frontalface,8,1280x720,289.4127368927002,1
Video1.MOV,hog,8,1280x720,219.53392028808594,1
Video1.MOV,hog_nms,8,1280x720,217.79417991638184,1
Video1.MOV,yolov5n,8,1280x720,42.215824127197266,4
Video1.MOV,yolov5s,8,1280x720,65.3848648071289,5
Video1.MOV,yolov5m,8,1280x720,126.97196006774902,7
Video1.MOV,yolov5l,8,1280x720,233.51693153381348,5
Video1.MOV,yolov5x,8,1280x720,425.39119720458984,6
Video1.MOV,mobilenet,8,1280x720,31.563758850097656,0
Video1.MOV,haar_fullbody,8,640x360,39.86096382141113,0
Video1.MOV,haar_upperbody,8,640x360,97.64790534973145,0
Video1.MOV,haar_frontalface,8,640x360,88.14811706542969,1
Video1.MOV,hog,8,640x360,43.099164962768555,0
Video1.MOV,hog_nms,8,640x360,43.669939041137695,0
Video1.MOV,yolov5n,8,640x360,43.49684715270996,4
Video1.MOV,yolov5s,8,640x360,69.69380378723145,5
Video1.MOV,yolov5m,8,640x360,142.32802391052246,7
Video1.MOV,yolov5l,8,640x360,227.77605056762695,5
Video1.MOV,yolov5x,8,640x360,342.04602241516113,6
Video1.MOV,mobilenet,8,640x360,30.740976333618164,0
Video1.MOV,haar_fullbody,8,480x270,20.15995979309082,0
Video1.MOV,haar_upperbody,8,480x270,50.93812942504883,0
Video1.MOV,haar_frontalface,8,480x270,48.896074295043945,1
Video1.MOV,hog,8,480x270,20.05290985107422,0
Video1.MOV,hog_nms,8,480x270,19.90985870361328,0
Video1.MOV,yolov5n,8,480x270,38.91897201538086,3
Video1.MOV,yolov5s,8,480x270,63.46273422241211,5
Video1.MOV,yolov5m,8,480x270,125.30517578125,5
Video1.MOV,yolov5l,8,480x270,214.05315399169922,6
Video1.MOV,yolov5x,8,480x270,349.34306144714355,6
Video1.MOV,mobilenet,8,480x270,30.910968780517578,0
Video1.MOV,haar_fullbody,9,1280x720,167.73200035095215,0
Video1.MOV,haar_upperbody,9,1280x720,355.1208972930908,2
Video1.MOV,haar_frontalface,9,1280x720,289.1499996185303,0
Video1.MOV,hog,9,1280x720,216.45283699035645,0
Video1.MOV,hog_nms,9,1280x720,216.7344093322754,0
Video1.MOV,yolov5n,9,1280x720,38.353919982910156,3
Video1.MOV,yolov5s,9,1280x720,63.51304054260254,3
Video1.MOV,yolov5m,9,1280x720,120.7890510559082,6
Video1.MOV,yolov5l,9,1280x720,213.88792991638184,6
Video1.MOV,yolov5x,9,1280x720,337.76307106018066,5
Video1.MOV,mobilenet,9,1280x720,31.180620193481445,0
Video1.MOV,haar_fullbody,9,640x360,38.945913314819336,0
Video1.MOV,haar_upperbody,9,640x360,90.50297737121582,0
Video1.MOV,haar_frontalface,9,640x360,87.66603469848633,1
Video1.MOV,hog,9,640x360,42.630910873413086,0
Video1.MOV,hog_nms,9,640x360,42.68598556518555,0
Video1.MOV,yolov5n,9,640x360,38.50984573364258,3
Video1.MOV,yolov5s,9,640x360,68.46380233764648,3
Video1.MOV,yolov5m,9,640x360,124.09186363220215,6
Video1.MOV,yolov5l,9,640x360,210.72697639465332,6
Video1.MOV,yolov5x,9,640x360,327.38518714904785,5
Video1.MOV,mobilenet,9,640x360,30.726909637451172,0
Video1.MOV,haar_fullbody,9,480x270,21.98004722595215,0
Video1.MOV,haar_upperbody,9,480x270,50.20499229431152,0
Video1.MOV,haar_frontalface,9,480x270,48.5529899597168,0
Video1.MOV,hog,9,480x270,20.0960636138916,0
Video1.MOV,hog_nms,9,480x270,20.061016082763672,0
Video1.MOV,yolov5n,9,480x270,39.80898857116699,3
Video1.MOV,yolov5s,9,480x270,64.4369125366211,4
Video1.MOV,yolov5m,9,480x270,120.55516242980957,6
Video1.MOV,yolov5l,9,480x270,211.94696426391602,7
Video1.MOV,yolov5x,9,480x270,335.91604232788086,6
Video1.MOV,mobilenet,9,480x270,31.05306625366211,0
Video1.MOV,haar_fullbody,10,1280x720,168.08795928955078,0
Video1.MOV,haar_upperbody,10,1280x720,350.2919673919678,0
Video1.MOV,haar_frontalface,10,1280x720,288.36607933044434,0
Video1.MOV,hog,10,1280x720,216.6759967803955,0
Video1.MOV,hog_nms,10,1280x720,215.60192108154297,0
Video1.MOV,yolov5n,10,1280x720,38.06900978088379,3
Video1.MOV,yolov5s,10,1280x720,65.07587432861328,5
Video1.MOV,yolov5m,10,1280x720,117.6767349243164,6
Video1.MOV,yolov5l,10,1280x720,207.39483833312988,6
Video1.MOV,yolov5x,10,1280x720,340.06404876708984,6
Video1.MOV,mobilenet,10,1280x720,30.7772159576416,0
Video1.MOV,haar_fullbody,10,640x360,38.59710693359375,0
Video1.MOV,haar_upperbody,10,640x360,89.26796913146973,0
Video1.MOV,haar_frontalface,10,640x360,86.35425567626953,1
Video1.MOV,hog,10,640x360,42.50907897949219,0
Video1.MOV,hog_nms,10,640x360,42.45710372924805,0
Video1.MOV,yolov5n,10,640x360,37.505149841308594,3
Video1.MOV,yolov5s,10,640x360,63.07625770568848,5
Video1.MOV,yolov5m,10,640x360,120.2850341796875,6
Video1.MOV,yolov5l,10,640x360,213.5636806488037,6
Video1.MOV,yolov5x,10,640x360,341.74513816833496,6
Video1.MOV,mobilenet,10,640x360,31.09598159790039,0
Video1.MOV,haar_fullbody,10,480x270,20.10178565979004,0
Video1.MOV,haar_upperbody,10,480x270,51.87511444091797,0
Video1.MOV,haar_frontalface,10,480x270,48.38109016418457,0
Video1.MOV,hog,10,480x270,20.827054977416992,0
Video1.MOV,hog_nms,10,480x270,21.140098571777344,0
Video1.MOV,yolov5n,10,480x270,39.2451286315918,2
Video1.MOV,yolov5s,10,480x270,62.37196922302246,5
Video1.MOV,yolov5m,10,480x270,121.4592456817627,6
Video1.MOV,yolov5l,10,480x270,209.55491065979004,8
Video1.MOV,yolov5x,10,480x270,336.5821838378906,6
Video1.MOV,mobilenet,10,480x270,31.3112735748291,0
Video1.MOV,haar_fullbody,11,1280x720,163.0849838256836,2
Video1.MOV,haar_upperbody,11,1280x720,344.56801414489746,1
Video1.MOV,haar_frontalface,11,1280x720,290.51709175109863,2
Video1.MOV,hog,11,1280x720,215.87419509887695,1
Video1.MOV,hog_nms,11,1280x720,216.15219116210938,1
Video1.MOV,yolov5n,11,1280x720,40.59410095214844,8
Video1.MOV,yolov5s,11,1280x720,62.81089782714844,6
Video1.MOV,yolov5m,11,1280x720,124.43900108337402,6
Video1.MOV,yolov5l,11,1280x720,208.08815956115723,8
Video1.MOV,yolov5x,11,1280x720,331.2070369720459,6
Video1.MOV,mobilenet,11,1280x720,31.301021575927734,0
Video1.MOV,haar_fullbody,11,640x360,37.979841232299805,0
Video1.MOV,haar_upperbody,11,640x360,86.75694465637207,0
Video1.MOV,haar_frontalface,11,640x360,86.78388595581055,1
Video1.MOV,hog,11,640x360,42.95706748962402,0
Video1.MOV,hog_nms,11,640x360,43.58816146850586,0
Video1.MOV,yolov5n,11,640x360,40.2219295501709,8
Video1.MOV,yolov5s,11,640x360,68.52912902832031,6
Video1.MOV,yolov5m,11,640x360,121.05512619018555,6
Video1.MOV,yolov5l,11,640x360,213.31214904785156,8
Video1.MOV,yolov5x,11,640x360,375.1499652862549,6
Video1.MOV,mobilenet,11,640x360,33.10513496398926,0
Video1.MOV,haar_fullbody,11,480x270,22.59683609008789,0
Video1.MOV,haar_upperbody,11,480x270,49.698829650878906,0
Video1.MOV,haar_frontalface,11,480x270,49.520015716552734,1
Video1.MOV,hog,11,480x270,21.90995216369629,0
Video1.MOV,hog_nms,11,480x270,21.60811424255371,0
Video1.MOV,yolov5n,11,480x270,45.53818702697754,7
Video1.MOV,yolov5s,11,480x270,75.92487335205078,6
Video1.MOV,yolov5m,11,480x270,155.7769775390625,6
Video1.MOV,yolov5l,11,480x270,229.24494743347168,7
Video1.MOV,yolov5x,11,480x270,340.23094177246094,6
Video1.MOV,mobilenet,11,480x270,32.5932502746582,0
Video1.MOV,haar_fullbody,12,1280x720,163.75398635864258,2
Video1.MOV,haar_upperbody,12,1280x720,356.54306411743164,0
Video1.MOV,haar_frontalface,12,1280x720,282.1011543273926,2
Video1.MOV,hog,12,1280x720,215.55805206298828,1
Video1.MOV,hog_nms,12,1280x720,220.35717964172363,1
Video1.MOV,yolov5n,12,1280x720,76.09987258911133,4
Video1.MOV,yolov5s,12,1280x720,68.36581230163574,4
Video1.MOV,yolov5m,12,1280x720,142.6239013671875,6
Video1.MOV,yolov5l,12,1280x720,231.51111602783203,7
Video1.MOV,yolov5x,12,1280x720,372.53499031066895,6
Video1.MOV,mobilenet,12,1280x720,36.885976791381836,0
Video1.MOV,haar_fullbody,12,640x360,41.73994064331055,0
Video1.MOV,haar_upperbody,12,640x360,83.76789093017578,0
Video1.MOV,haar_frontalface,12,640x360,82.58891105651855,1
Video1.MOV,hog,12,640x360,43.64585876464844,0
Video1.MOV,hog_nms,12,640x360,42.94466972351074,0
Video1.MOV,yolov5n,12,640x360,38.218021392822266,4
Video1.MOV,yolov5s,12,640x360,63.13014030456543,4
Video1.MOV,yolov5m,12,640x360,119.25601959228516,6
Video1.MOV,yolov5l,12,640x360,247.3759651184082,7
Video1.MOV,yolov5x,12,640x360,359.6489429473877,6
Video1.MOV,mobilenet,12,640x360,31.453847885131836,0
Video1.MOV,haar_fullbody,12,480x270,19.635915756225586,0
Video1.MOV,haar_upperbody,12,480x270,49.1328239440918,0
Video1.MOV,haar_frontalface,12,480x270,46.236276626586914,0
Video1.MOV,hog,12,480x270,19.927263259887695,0
Video1.MOV,hog_nms,12,480x270,20.467758178710938,0
Video1.MOV,yolov5n,12,480x270,39.06607627868652,6
Video1.MOV,yolov5s,12,480x270,64.05782699584961,4
Video1.MOV,yolov5m,12,480x270,121.74725532531738,5
Video1.MOV,yolov5l,12,480x270,221.85397148132324,7
Video1.MOV,yolov5x,12,480x270,343.944787979126,6
Video1.MOV,mobilenet,12,480x270,31.530141830444336,0
Video1.MOV,haar_fullbody,13,1280x720,192.38710403442383,2
Video1.MOV,haar_upperbody,13,1280x720,349.60103034973145,0
Video1.MOV,haar_frontalface,13,1280x720,286.59510612487793,1
Video1.MOV,hog,13,1280x720,230.00431060791016,3
Video1.MOV,hog_nms,13,1280x720,227.63705253601074,2
Video1.MOV,yolov5n,13,1280x720,48.38204383850098,6
Video1.MOV,yolov5s,13,1280x720,68.39704513549805,5
Video1.MOV,yolov5m,13,1280x720,125.5488395690918,8
Video1.MOV,yolov5l,13,1280x720,224.62105751037598,10
Video1.MOV,yolov5x,13,1280x720,406.1570167541504,9
Video1.MOV,mobilenet,13,1280x720,31.612157821655273,0
Video1.MOV,haar_fullbody,13,640x360,38.429975509643555,0
Video1.MOV,haar_upperbody,13,640x360,87.73303031921387,0
Video1.MOV,haar_frontalface,13,640x360,86.08698844909668,0
Video1.MOV,hog,13,640x360,43.14684867858887,0
Video1.MOV,hog_nms,13,640x360,42.650699615478516,0
Video1.MOV,yolov5n,13,640x360,41.65482521057129,6
Video1.MOV,yolov5s,13,640x360,65.4761791229248,5
Video1.MOV,yolov5m,13,640x360,122.0560073852539,8
Video1.MOV,yolov5l,13,640x360,216.2308692932129,10
Video1.MOV,yolov5x,13,640x360,350.4340648651123,9
Video1.MOV,mobilenet,13,640x360,32.074928283691406,0
Video1.MOV,haar_fullbody,13,480x270,20.138025283813477,0
Video1.MOV,haar_upperbody,13,480x270,49.234867095947266,0
Video1.MOV,haar_frontalface,13,480x270,47.19209671020508,0
Video1.MOV,hog,13,480x270,20.380020141601562,0
